architecture,available_fraction,available_mass,candidate_ineligibility_reasons,candidate_set_outcome,candidate_set_rows,conflicting_action_separation,contradiction,critical_contradiction,expected_action,expected_informative_count,expected_mask_stability_count,expected_row,expected_row_candidate_eligible,expected_row_exact_eligible,expected_row_rank,expected_row_strength,observation_id,rejection_reason,runner_up,support,supporting_regions,winner,winner_action,winner_margin,winner_strength
A,1.0,103.0,"[""inactive:minimum_support"", ""inactive:maximum_contradiction"", ""inactive:maximum_critical_contradiction"", ""inactive:minimum_supporting_regions""]",exact_row_accepted,"[""tank=0|target=none|cooldown=0""]",0.0,0.0,0.0,STAY,109,438,tank=0|target=none|cooldown=0,True,True,1,0.0,architecture_selection_benign:selection_exact:tank=0|target=none|cooldown=0:00,,tank=1|target=5|cooldown=0,0.0,0,tank=0|target=none|cooldown=0,STAY,0.0,0.0
A,1.0,100.0,"[""inactive:minimum_support"", ""inactive:maximum_contradiction"", ""inactive:maximum_critical_contradiction"", ""inactive:minimum_supporting_regions""]",exact_row_accepted,"[""tank=1|target=5|cooldown=0""]",0.0,0.0,0.0,RIGHT,109,432,tank=1|target=5|cooldown=0,True,True,1,0.0,architecture_selection_benign:selection_exact:tank=1|target=5|cooldown=0:00,,tank=0|target=none|cooldown=0,0.0,0,tank=1|target=5|cooldown=0,RIGHT,0.0,0.0
A,1.0,100.0,"[""inactive:minimum_support"", ""inactive:maximum_contradiction"", ""inactive:maximum_critical_contradiction"", ""inactive:minimum_supporting_regions""]",exact_row_accepted,"[""tank=3|target=3|cooldown=0""]",0.0,0.0,0.0,FIRE,109,432,tank=3|target=3|cooldown=0,True,True,1,0.0,architecture_selection_benign:selection_exact:tank=3|target=3|cooldown=0:00,,tank=0|target=none|cooldown=0,0.0,0,tank=3|target=3|cooldown=0,FIRE,0.0,0.0
A,1.0,101.0,"[""exact_winner_margin"", ""inactive:minimum_support"", ""inactive:maximum_contradiction"", ""inactive:maximum_critical_contradiction"", ""inactive:minimum_supporting_regions""]",exact_row_accepted,"[""tank=0|target=none|cooldown=0""]",0.0,0.0,0.0,STAY,109,436,tank=6|target=6|cooldown=1,True,False,2,0.0,architecture_selection_benign:selection_exact:tank=6|target=6|cooldown=1:00,,tank=6|target=6|cooldown=1,0.0,0,tank=0|target=none|cooldown=0,STAY,,0.0
B,1.0,103.0,"[""inactive:maximum_contradiction"", ""inactive:maximum_critical_contradiction"", ""inactive:minimum_supporting_regions""]",exact_row_accepted,"[""tank=0|target=none|cooldown=0""]",0.0,0.0,0.0,STAY,109,438,tank=0|target=none|cooldown=0,True,True,1,0.0,architecture_selection_benign:selection_exact:tank=0|target=none|cooldown=0:00,,tank=1|target=5|cooldown=0,0.0,0,tank=0|target=none|cooldown=0,STAY,0.0,0.0
B,1.0,100.0,"[""inactive:maximum_contradiction"", ""inactive:maximum_critical_contradiction"", ""inactive:minimum_supporting_regions""]",exact_row_accepted,"[""tank=1|target=5|cooldown=0""]",0.0,0.0,0.0,RIGHT,109,432,tank=1|target=5|cooldown=0,True,True,1,0.0,architecture_selection_benign:selection_exact:tank=1|target=5|cooldown=0:00,,tank=0|target=none|cooldown=0,0.0,0,tank=1|target=5|cooldown=0,RIGHT,0.0,0.0
B,1.0,100.0,"[""inactive:maximum_contradiction"", ""inactive:maximum_critical_contradiction"", ""inactive:minimum_supporting_regions""]",exact_row_accepted,"[""tank=3|target=3|cooldown=0""]",0.0,0.0,0.0,FIRE,109,432,tank=3|target=3|cooldown=0,True,True,1,0.0,architecture_selection_benign:selection_exact:tank=3|target=3|cooldown=0:00,,tank=0|target=none|cooldown=0,0.0,0,tank=3|target=3|cooldown=0,FIRE,0.0,0.0
B,1.0,101.0,"[""exact_winner_margin"", ""inactive:maximum_contradiction"", ""inactive:maximum_critical_contradiction"", ""inactive:minimum_supporting_regions""]",exact_row_accepted,"[""tank=0|target=none|cooldown=0""]",0.0,0.0,0.0,STAY,109,436,tank=6|target=6|cooldown=1,True,False,2,0.0,architecture_selection_benign:selection_exact:tank=6|target=6|cooldown=1:00,,tank=6|target=6|cooldown=1,0.0,0,tank=0|target=none|cooldown=0,STAY,,0.0
C,1.0,103.0,[],exact_row_accepted,"[""tank=0|target=none|cooldown=0""]",0.0,0.0,0.0,STAY,109,438,tank=0|target=none|cooldown=0,True,True,1,0.0,architecture_selection_benign:selection_exact:tank=0|target=none|cooldown=0:00,,tank=1|target=5|cooldown=0,0.0,0,tank=0|target=none|cooldown=0,STAY,0.0,0.0
C,1.0,100.0,[],exact_row_accepted,"[""tank=1|target=5|cooldown=0""]",0.0,0.0,0.0,RIGHT,109,432,tank=1|target=5|cooldown=0,True,True,1,0.0,architecture_selection_benign:selection_exact:tank=1|target=5|cooldown=0:00,,tank=0|target=none|cooldown=0,0.0,0,tank=1|target=5|cooldown=0,RIGHT,0.0,0.0
C,1.0,100.0,[],exact_row_accepted,"[""tank=3|target=3|cooldown=0""]",0.0,0.0,0.0,FIRE,109,432,tank=3|target=3|cooldown=0,True,True,1,0.0,architecture_selection_benign:selection_exact:tank=3|target=3|cooldown=0:00,,tank=0|target=none|cooldown=0,0.0,0,tank=3|target=3|cooldown=0,FIRE,0.0,0.0
C,1.0,101.0,"[""exact_winner_margin""]",exact_row_accepted,"[""tank=0|target=none|cooldown=0""]",0.0,0.0,0.0,STAY,109,436,tank=6|target=6|cooldown=1,True,False,2,0.0,architecture_selection_benign:selection_exact:tank=6|target=6|cooldown=1:00,,tank=6|target=6|cooldown=1,0.0,0,tank=0|target=none|cooldown=0,STAY,,0.0
