architecture_id,benign_total,cache_hits,cache_misses,calibration_digest,candidate_relative_margin,candidate_set_count,conflicting_action_exact_accepts,conflicting_action_separation,critical_contradiction_exact_accepts,exact_accepted_count,exact_accepted_precision,exact_correct_count,exact_false_accepts,exact_row_coverage,exact_winner_margin,exact_winner_threshold,feasible,infeasible_reasons,maximum_candidate_set_size,maximum_contradiction,maximum_critical_contradiction,maximum_set_size,mean_set_size,minimum_available_fraction,minimum_available_mass,minimum_support,minimum_supporting_regions,mixed_action_useful_sets,negative_candidate_set_support,negative_per_family_outcomes,per_family_outcomes,same_action_wrong_row_exact_accepts,truth_in_set_count,unique_action_useful_sets,useful_candidate_set_count,useful_candidate_set_recall
A,144,0,144,sha256:8dcd5d44408d081742153721f2430f9d9622c85ff7df1ae8df6b312f038bd5b6,0.0,0,0,0.0,0,0,,0,0,0.0,0.05,0.5,False,zero_safe_utility,3,,,0,,0.25,1.0,,,0,0,"{""selection_negative_action_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_compositional_invalid:no_sufficient_evidence"": 12, ""selection_negative_conflicting_action:no_sufficient_evidence"": 12, ""selection_negative_conflicting_regions:no_sufficient_evidence"": 12, ""selection_negative_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_out_of_bounds:no_sufficient_evidence"": 12, ""selection_negative_same_action_wrong_row:no_sufficient_evidence"": 12}","{""selection_critical_partial:no_sufficient_evidence"": 12, ""selection_exact:no_sufficient_evidence"": 12, ""selection_mixed_action_ambiguous:no_sufficient_evidence"": 12, ""selection_noncritical_occlusion:no_sufficient_evidence"": 12, ""selection_photometric:no_sufficient_evidence"": 12, ""selection_repeated_state:no_sufficient_evidence"": 12, ""selection_same_action_ambiguous:no_sufficient_evidence"": 12, ""selection_translation_occlusion:no_sufficient_evidence"": 12, ""selection_translation_photometric:no_sufficient_evidence"": 12, ""selection_translation_x:no_sufficient_evidence"": 12, ""selection_translation_xy:no_sufficient_evidence"": 12, ""selection_translation_y:no_sufficient_evidence"": 12}",0,0,0,0,0.0
A,144,0,144,sha256:5145fcd3333bbeff669a81b53133d387954114ff59149ea38ce40aa05e7761d3,0.0,0,0,0.0,0,0,,0,0,0.0,0.05,0.5,False,zero_safe_utility,3,,,0,,0.25,2.0,,,0,0,"{""selection_negative_action_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_compositional_invalid:no_sufficient_evidence"": 12, ""selection_negative_conflicting_action:no_sufficient_evidence"": 12, ""selection_negative_conflicting_regions:no_sufficient_evidence"": 12, ""selection_negative_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_out_of_bounds:no_sufficient_evidence"": 12, ""selection_negative_same_action_wrong_row:no_sufficient_evidence"": 12}","{""selection_critical_partial:no_sufficient_evidence"": 12, ""selection_exact:no_sufficient_evidence"": 12, ""selection_mixed_action_ambiguous:no_sufficient_evidence"": 12, ""selection_noncritical_occlusion:no_sufficient_evidence"": 12, ""selection_photometric:no_sufficient_evidence"": 12, ""selection_repeated_state:no_sufficient_evidence"": 12, ""selection_same_action_ambiguous:no_sufficient_evidence"": 12, ""selection_translation_occlusion:no_sufficient_evidence"": 12, ""selection_translation_photometric:no_sufficient_evidence"": 12, ""selection_translation_x:no_sufficient_evidence"": 12, ""selection_translation_xy:no_sufficient_evidence"": 12, ""selection_translation_y:no_sufficient_evidence"": 12}",0,0,0,0,0.0
A,144,0,144,sha256:9bec4b31c3148b002dc5ad86897091ba14e8dd81a5a67e3e705bbc7fa5d09c78,0.0,0,0,0.0,0,0,,0,0,0.0,0.15,0.5,False,zero_safe_utility,3,,,0,,0.25,1.0,,,0,0,"{""selection_negative_action_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_compositional_invalid:no_sufficient_evidence"": 12, ""selection_negative_conflicting_action:no_sufficient_evidence"": 12, ""selection_negative_conflicting_regions:no_sufficient_evidence"": 12, ""selection_negative_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_out_of_bounds:no_sufficient_evidence"": 12, ""selection_negative_same_action_wrong_row:no_sufficient_evidence"": 12}","{""selection_critical_partial:no_sufficient_evidence"": 12, ""selection_exact:no_sufficient_evidence"": 12, ""selection_mixed_action_ambiguous:no_sufficient_evidence"": 12, ""selection_noncritical_occlusion:no_sufficient_evidence"": 12, ""selection_photometric:no_sufficient_evidence"": 12, ""selection_repeated_state:no_sufficient_evidence"": 12, ""selection_same_action_ambiguous:no_sufficient_evidence"": 12, ""selection_translation_occlusion:no_sufficient_evidence"": 12, ""selection_translation_photometric:no_sufficient_evidence"": 12, ""selection_translation_x:no_sufficient_evidence"": 12, ""selection_translation_xy:no_sufficient_evidence"": 12, ""selection_translation_y:no_sufficient_evidence"": 12}",0,0,0,0,0.0
A,144,0,144,sha256:6d710c4d1c0f7545b017b71857be37ece819eeac9017637928546256c17c04fe,0.0,0,0,0.0,0,0,,0,0,0.0,0.15,0.5,False,zero_safe_utility,3,,,0,,0.25,2.0,,,0,0,"{""selection_negative_action_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_compositional_invalid:no_sufficient_evidence"": 12, ""selection_negative_conflicting_action:no_sufficient_evidence"": 12, ""selection_negative_conflicting_regions:no_sufficient_evidence"": 12, ""selection_negative_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_out_of_bounds:no_sufficient_evidence"": 12, ""selection_negative_same_action_wrong_row:no_sufficient_evidence"": 12}","{""selection_critical_partial:no_sufficient_evidence"": 12, ""selection_exact:no_sufficient_evidence"": 12, ""selection_mixed_action_ambiguous:no_sufficient_evidence"": 12, ""selection_noncritical_occlusion:no_sufficient_evidence"": 12, ""selection_photometric:no_sufficient_evidence"": 12, ""selection_repeated_state:no_sufficient_evidence"": 12, ""selection_same_action_ambiguous:no_sufficient_evidence"": 12, ""selection_translation_occlusion:no_sufficient_evidence"": 12, ""selection_translation_photometric:no_sufficient_evidence"": 12, ""selection_translation_x:no_sufficient_evidence"": 12, ""selection_translation_xy:no_sufficient_evidence"": 12, ""selection_translation_y:no_sufficient_evidence"": 12}",0,0,0,0,0.0
B,144,0,144,sha256:90db39fbe560c5a1cc28615a04eee42271da3e24eec2a63ec75057fd6abde840,0.0,0,0,0.0,0,0,,0,0,0.0,0.05,0.5,False,zero_safe_utility,3,,,0,,0.25,1.0,0.0,,0,0,"{""selection_negative_action_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_compositional_invalid:no_sufficient_evidence"": 12, ""selection_negative_conflicting_action:no_sufficient_evidence"": 12, ""selection_negative_conflicting_regions:no_sufficient_evidence"": 12, ""selection_negative_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_out_of_bounds:no_sufficient_evidence"": 12, ""selection_negative_same_action_wrong_row:no_sufficient_evidence"": 12}","{""selection_critical_partial:no_sufficient_evidence"": 12, ""selection_exact:no_sufficient_evidence"": 12, ""selection_mixed_action_ambiguous:no_sufficient_evidence"": 12, ""selection_noncritical_occlusion:no_sufficient_evidence"": 12, ""selection_photometric:no_sufficient_evidence"": 12, ""selection_repeated_state:no_sufficient_evidence"": 12, ""selection_same_action_ambiguous:no_sufficient_evidence"": 12, ""selection_translation_occlusion:no_sufficient_evidence"": 12, ""selection_translation_photometric:no_sufficient_evidence"": 12, ""selection_translation_x:no_sufficient_evidence"": 12, ""selection_translation_xy:no_sufficient_evidence"": 12, ""selection_translation_y:no_sufficient_evidence"": 12}",0,0,0,0,0.0
B,144,0,144,sha256:2ad74ba648949a7404e83272457757d3e0f4d7a85106f42c1a33670ce2c67e68,0.0,0,0,0.0,0,0,,0,0,0.0,0.05,0.5,False,zero_safe_utility,3,,,0,,0.25,1.0,0.4,,0,0,"{""selection_negative_action_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_compositional_invalid:no_sufficient_evidence"": 12, ""selection_negative_conflicting_action:no_sufficient_evidence"": 12, ""selection_negative_conflicting_regions:no_sufficient_evidence"": 12, ""selection_negative_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_out_of_bounds:no_sufficient_evidence"": 12, ""selection_negative_same_action_wrong_row:no_sufficient_evidence"": 12}","{""selection_critical_partial:no_sufficient_evidence"": 12, ""selection_exact:no_sufficient_evidence"": 12, ""selection_mixed_action_ambiguous:no_sufficient_evidence"": 12, ""selection_noncritical_occlusion:no_sufficient_evidence"": 12, ""selection_photometric:no_sufficient_evidence"": 12, ""selection_repeated_state:no_sufficient_evidence"": 12, ""selection_same_action_ambiguous:no_sufficient_evidence"": 12, ""selection_translation_occlusion:no_sufficient_evidence"": 12, ""selection_translation_photometric:no_sufficient_evidence"": 12, ""selection_translation_x:no_sufficient_evidence"": 12, ""selection_translation_xy:no_sufficient_evidence"": 12, ""selection_translation_y:no_sufficient_evidence"": 12}",0,0,0,0,0.0
B,144,0,144,sha256:503b61b6d03fc6374df3ef12975ea0ea8ac771cef980437198e257f15d3b0cab,0.0,0,0,0.0,0,0,,0,0,0.0,0.05,0.5,False,zero_safe_utility,3,,,0,,0.25,2.0,0.0,,0,0,"{""selection_negative_action_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_compositional_invalid:no_sufficient_evidence"": 12, ""selection_negative_conflicting_action:no_sufficient_evidence"": 12, ""selection_negative_conflicting_regions:no_sufficient_evidence"": 12, ""selection_negative_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_out_of_bounds:no_sufficient_evidence"": 12, ""selection_negative_same_action_wrong_row:no_sufficient_evidence"": 12}","{""selection_critical_partial:no_sufficient_evidence"": 12, ""selection_exact:no_sufficient_evidence"": 12, ""selection_mixed_action_ambiguous:no_sufficient_evidence"": 12, ""selection_noncritical_occlusion:no_sufficient_evidence"": 12, ""selection_photometric:no_sufficient_evidence"": 12, ""selection_repeated_state:no_sufficient_evidence"": 12, ""selection_same_action_ambiguous:no_sufficient_evidence"": 12, ""selection_translation_occlusion:no_sufficient_evidence"": 12, ""selection_translation_photometric:no_sufficient_evidence"": 12, ""selection_translation_x:no_sufficient_evidence"": 12, ""selection_translation_xy:no_sufficient_evidence"": 12, ""selection_translation_y:no_sufficient_evidence"": 12}",0,0,0,0,0.0
B,144,0,144,sha256:757e49fb095b3fa2d23292bba87ab8485b81212b29ce51dbfc632482e9cdb1db,0.0,0,0,0.0,0,0,,0,0,0.0,0.05,0.5,False,zero_safe_utility,3,,,0,,0.25,2.0,0.4,,0,0,"{""selection_negative_action_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_compositional_invalid:no_sufficient_evidence"": 12, ""selection_negative_conflicting_action:no_sufficient_evidence"": 12, ""selection_negative_conflicting_regions:no_sufficient_evidence"": 12, ""selection_negative_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_out_of_bounds:no_sufficient_evidence"": 12, ""selection_negative_same_action_wrong_row:no_sufficient_evidence"": 12}","{""selection_critical_partial:no_sufficient_evidence"": 12, ""selection_exact:no_sufficient_evidence"": 12, ""selection_mixed_action_ambiguous:no_sufficient_evidence"": 12, ""selection_noncritical_occlusion:no_sufficient_evidence"": 12, ""selection_photometric:no_sufficient_evidence"": 12, ""selection_repeated_state:no_sufficient_evidence"": 12, ""selection_same_action_ambiguous:no_sufficient_evidence"": 12, ""selection_translation_occlusion:no_sufficient_evidence"": 12, ""selection_translation_photometric:no_sufficient_evidence"": 12, ""selection_translation_x:no_sufficient_evidence"": 12, ""selection_translation_xy:no_sufficient_evidence"": 12, ""selection_translation_y:no_sufficient_evidence"": 12}",0,0,0,0,0.0
B,144,0,144,sha256:d123bfc28a9693f209a1c8f10f607fb6f43147a135ad4a8fe73f603fd63eb0c0,0.0,0,0,0.0,0,0,,0,0,0.0,0.15,0.5,False,zero_safe_utility,3,,,0,,0.25,1.0,0.0,,0,0,"{""selection_negative_action_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_compositional_invalid:no_sufficient_evidence"": 12, ""selection_negative_conflicting_action:no_sufficient_evidence"": 12, ""selection_negative_conflicting_regions:no_sufficient_evidence"": 12, ""selection_negative_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_out_of_bounds:no_sufficient_evidence"": 12, ""selection_negative_same_action_wrong_row:no_sufficient_evidence"": 12}","{""selection_critical_partial:no_sufficient_evidence"": 12, ""selection_exact:no_sufficient_evidence"": 12, ""selection_mixed_action_ambiguous:no_sufficient_evidence"": 12, ""selection_noncritical_occlusion:no_sufficient_evidence"": 12, ""selection_photometric:no_sufficient_evidence"": 12, ""selection_repeated_state:no_sufficient_evidence"": 12, ""selection_same_action_ambiguous:no_sufficient_evidence"": 12, ""selection_translation_occlusion:no_sufficient_evidence"": 12, ""selection_translation_photometric:no_sufficient_evidence"": 12, ""selection_translation_x:no_sufficient_evidence"": 12, ""selection_translation_xy:no_sufficient_evidence"": 12, ""selection_translation_y:no_sufficient_evidence"": 12}",0,0,0,0,0.0
B,144,0,144,sha256:8193dc377ce0977e349729e6c9a6c02e15f645bbb227d44eb04436ddcb83bde0,0.0,0,0,0.0,0,0,,0,0,0.0,0.15,0.5,False,zero_safe_utility,3,,,0,,0.25,1.0,0.4,,0,0,"{""selection_negative_action_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_compositional_invalid:no_sufficient_evidence"": 12, ""selection_negative_conflicting_action:no_sufficient_evidence"": 12, ""selection_negative_conflicting_regions:no_sufficient_evidence"": 12, ""selection_negative_critical_removed:no_sufficient_evidence"": 12, ""selection_negative_out_of_bounds:no_sufficient_evidence"": 12, ""selection_negative_same_action_wrong_row:no_sufficient_evidence"": 12}","{""selection_critical_partial:no_sufficient_evidence"": 12, ""selection_exact:no_sufficient_evidence"": 12, ""selection_mixed_action_ambiguous:no_sufficient_evidence"": 12, ""selection_noncritical_occlusion:no_sufficient_evidence"": 12, ""selection_photometric:no_sufficient_evidence"": 12, ""selection_repeated_state:no_sufficient_evidence"": 12, ""selection_same_action_ambiguous:no_sufficient_evidence"": 12, ""selection_translation_occlusion:no_sufficient_evidence"": 12, ""selection_translation_photometric:no_sufficient_evidence"": 12, ""selection_translation_x:no_sufficient_evidence"": 12, ""selection_translation_xy:no_sufficient_evidence"": 12, ""selection_translation_y:no_sufficient_evidence"": 12}",0,0,0,0,0.0
