accepted,case_id,conflicting_action_rank,correct_row_rank,decision_reason,expected_action,expected_row,family,frame_id,same_action_rank,top1_action,top1_distance,top1_row,top1_visible_fraction,top5_actions,top5_rows
False,video-final-benign-exact,9,1,minimum_visible_fraction,LEFT,tank=3|target=0|cooldown=0,exact_frames,sha256:57a9111f281258195b71fff71f580229d1f6a7852b44ed11068913924dfe9748,1,LEFT,0.0,tank=3|target=0|cooldown=0,0.5,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""tank=3|target=0|cooldown=0"", ""tank=3|target=0|cooldown=1"", ""tank=3|target=0|cooldown=1"", ""tank=3|target=0|cooldown=1"", ""tank=3|target=0|cooldown=0""]"
False,video-final-benign-exact,9,1,minimum_visible_fraction,LEFT,tank=2|target=0|cooldown=0,exact_frames,sha256:97a349e9473a360014d3d7fe81bd7b839291f51d6b69a9f264c7c08d5a59cd72,1,LEFT,0.0,tank=2|target=0|cooldown=0,0.5,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""tank=2|target=0|cooldown=0"", ""tank=2|target=0|cooldown=1"", ""tank=2|target=0|cooldown=1"", ""tank=2|target=0|cooldown=1"", ""tank=2|target=0|cooldown=0""]"
False,video-final-benign-exact,9,1,minimum_visible_fraction,LEFT,tank=1|target=0|cooldown=0,exact_frames,sha256:b4dc697448f639cc34041afbebaf1a7454f5fe70ca60f7367f4eb13d9b81daeb,1,LEFT,0.0,tank=1|target=0|cooldown=0,0.5,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""tank=1|target=0|cooldown=0"", ""tank=1|target=0|cooldown=1"", ""tank=1|target=0|cooldown=1"", ""tank=1|target=0|cooldown=1"", ""tank=1|target=0|cooldown=0""]"
False,video-final-benign-exact,2,1,minimum_visible_fraction,FIRE,tank=0|target=0|cooldown=0,exact_frames,sha256:384b461fc28358f81b9cc3b90ea60bf6590294bea9255ede240a15e2d65e8911,1,FIRE,0.0,tank=0|target=0|cooldown=0,0.5,"[""FIRE"", ""STAY"", ""STAY"", ""STAY"", ""FIRE""]","[""tank=0|target=0|cooldown=0"", ""tank=0|target=0|cooldown=1"", ""tank=0|target=0|cooldown=1"", ""tank=0|target=0|cooldown=1"", ""tank=0|target=0|cooldown=0""]"
False,video-final-benign-exact,9,2,minimum_visible_fraction,RIGHT,tank=0|target=6|cooldown=1,exact_frames,sha256:2d6a4a7feacf0303f66ff9e5554ffb54f03ff4386e27661c39eb18281661f416,1,RIGHT,0.0,tank=0|target=6|cooldown=0,0.5,"[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","[""tank=0|target=6|cooldown=0"", ""tank=0|target=6|cooldown=1"", ""tank=0|target=6|cooldown=1"", ""tank=0|target=6|cooldown=1"", ""tank=0|target=6|cooldown=0""]"
False,video-final-benign-exact,13,1,minimum_visible_fraction,RIGHT,tank=1|target=6|cooldown=0,exact_frames,sha256:ac3f43dd524e2a31397e316056c38b79e1a8a45a8cba5356714383ee45b083e6,1,RIGHT,0.0,tank=1|target=6|cooldown=0,0.5,"[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","[""tank=1|target=6|cooldown=0"", ""tank=1|target=6|cooldown=1"", ""tank=1|target=6|cooldown=1"", ""tank=1|target=6|cooldown=1"", ""tank=1|target=6|cooldown=0""]"
False,video-final-benign-exact,13,1,minimum_visible_fraction,RIGHT,tank=2|target=6|cooldown=0,exact_frames,sha256:f7ae089e62d9518fcefeec278d39eadbb98cadc4f91360f74440630f5dd9dafc,1,RIGHT,0.0,tank=2|target=6|cooldown=0,0.5,"[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","[""tank=2|target=6|cooldown=0"", ""tank=2|target=6|cooldown=1"", ""tank=2|target=6|cooldown=1"", ""tank=2|target=6|cooldown=1"", ""tank=2|target=6|cooldown=0""]"
False,video-final-benign-exact,13,1,minimum_visible_fraction,RIGHT,tank=3|target=6|cooldown=0,exact_frames,sha256:e401918d91dff03d7b0004eda540cd8c93978b55fc2d0f09dd1de4e1295faf41,1,RIGHT,0.0,tank=3|target=6|cooldown=0,0.5,"[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","[""tank=3|target=6|cooldown=0"", ""tank=3|target=6|cooldown=1"", ""tank=3|target=6|cooldown=1"", ""tank=3|target=6|cooldown=1"", ""tank=3|target=6|cooldown=0""]"
False,video-final-benign-exact,13,1,minimum_visible_fraction,RIGHT,tank=4|target=6|cooldown=0,exact_frames,sha256:3e8037c140d06a6a06c79f2b44950bf89c4cbba61626565e103deff9c855fff1,1,RIGHT,0.0,tank=4|target=6|cooldown=0,0.5,"[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","[""tank=4|target=6|cooldown=0"", ""tank=4|target=6|cooldown=1"", ""tank=4|target=6|cooldown=1"", ""tank=4|target=6|cooldown=1"", ""tank=4|target=6|cooldown=0""]"
False,video-final-benign-exact,11,1,minimum_visible_fraction,RIGHT,tank=5|target=6|cooldown=0,exact_frames,sha256:086b40b2cebc1d88ef07c20bb469decafeefe7a4e4c219402691ee657137abda,1,RIGHT,0.0,tank=5|target=6|cooldown=0,0.5,"[""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT""]","[""tank=5|target=6|cooldown=0"", ""tank=5|target=6|cooldown=1"", ""tank=5|target=6|cooldown=1"", ""tank=5|target=6|cooldown=1"", ""tank=5|target=6|cooldown=0""]"
