production_root,ruff_format,ruff_lint,mypy,code_quality_limits,architecture_check,notes
packages/core/src,yes,yes,yes,yes,NO (vacuous),"Covered by check_quality.py FORMAT_LINT_PATHS/TYPING_PATHS and code_quality_report.py --path list. Architecture step (scripts/check_architecture.py) discovers 0 modules for every package - see architecture_check column note below, applies identically to every row in this table."
packages/core/tests,yes,no (not in TYPING_PATHS - expected, tests are usually untyped),n/a,no (not in code_quality_report.py --path list),NO (vacuous),"ruff format+lint cover core/tests; mypy and the quality-limits report do not include core/tests (only core/src)."
packages/analysis/src,yes,yes,yes,yes,NO (vacuous),Fully covered by both ruff/mypy paths and quality-limits report.
packages/analysis/tests,yes,yes,n/a,yes,NO (vacuous),"ruff and quality-limits report both include analysis/tests (unlike core/tests, which quality-limits omits)."
packages/observation/src,yes,yes,yes,yes,NO (vacuous),Fully covered.
packages/observation/tests,yes,yes,n/a,yes,NO (vacuous),Fully covered.
packages/vision/src,yes,yes,yes,yes,NO (vacuous),"Listed as three explicit file paths (visual.py, visual_policy.py, __init__.py) rather than the directory, but this is the package's ENTIRE src tree (verified: exactly those 3 files exist under packages/vision/src) - functionally complete, not a gap, just written more verbosely than the other packages."
packages/vision/tests,yes,yes,n/a,yes,NO (vacuous),Fully covered.
packages/video/src,yes,yes,yes,yes,NO (vacuous),Fully covered.
packages/video/tests,yes,yes,n/a,yes,NO (vacuous),Fully covered.
packages/sqlalchemy/src,NO,NO,NO,NO,NO (vacuous),"BLOCKER: packages/sqlalchemy/src is entirely absent from scripts/check_quality.py's FORMAT_LINT_PATHS and TYPING_PATHS, and absent from root pyproject.toml's [tool.mypy] mypy_path. It is also absent from sys.check_quality.py's code_quality_report.py --path argument list. Verified by direct execution: running `ruff check packages/sqlalchemy/src` passes cleanly, but `mypy packages/sqlalchemy/src` independently produces 17 errors across 9 files (missing py.typed marker on every internal cross-module import, plus one genuine bug: db/stores/video_action_set.py:1070 `Result[Any]` has no attribute `rowcount`). None of this is caught by any CI gate today - it is silently excluded, not silently passing."
packages/sqlalchemy/tests,NO,NO,n/a,NO,NO (vacuous),"Same gap as sqlalchemy/src: absent from every quality tool invocation. The sqlalchemy-package.yml workflow does separately run ruff format/check and mypy on packages/sqlalchemy/src,tests as one of its own steps (windows-latest only) - so sqlalchemy DOES get ruff/mypy coverage via that dedicated workflow, but NOT via the repository-wide check_quality.py gate used by python.yml and package-integration.yml. This is an inconsistency between the repo-wide gate and the per-package gate, not a total absence of coverage."
(architecture_check - all packages),n/a,n/a,n/a,n/a,NO (vacuous - BLOCKER),"scripts/check_architecture.py hardcodes PACKAGE_ROOT = REPO_ROOT / 'zeromodel' (line 10), the deleted root distribution directory. Verified empirically in a clean git worktree at baseline SHA c1ce710: root zeromodel/ does not exist, discover_modules() finds 0 modules, and the script prints 'Architecture check: passed' having checked nothing. This is the 'Architecture' step inside check_quality.py (called by python.yml's quality job and by package-integration.yml's Quality gate step) - it is a silent no-op on every invocation post-split. Note this is a DIFFERENT script from scripts/check_package_boundaries.py, which correctly reads package-boundaries.toml's packages/*/src source_root entries and DOES work (verified: 'Package boundary check passed: 112 production modules' in the same clean worktree) - but check_package_boundaries.py is only invoked directly by the six per-package workflows, never by check_quality.py itself."
quality-baseline.toml legacy_exceptions,n/a,n/a,n/a,partially stale,n/a,"14 of 35 legacy_exceptions entries (40%) reference file paths that no longer exist in the repo (e.g. zeromodel/video_action_set_benchmark.py, zeromodel/db/stores/video_action_set.py, tests/test_video_split_progress_kernel.py which actually now lives at research/video_action_set/tests/). These are inert (code_quality_report.py simply never matches them to a real file) but indicate the baseline was never reconciled after the split. Verified by loading the TOML and checking Path.exists() for every legacy_exceptions key in a clean worktree."
requirements-dev.txt / dev tooling,n/a,n/a,n/a,n/a,n/a,"scripts/check_package_boundaries.py does `import tomllib` unconditionally with no try/except fallback (unlike scripts/validate_release_candidate.py, which falls back to `import tomli`). tomllib is Python-3.11+ stdlib only. Every packages/*/pyproject.toml declares requires-python >= 3.10, and requirements-dev.txt is meant to support that floor, but requirements-dev.txt does not list tomli. check_package_boundaries.py would raise ModuleNotFoundError on a Python 3.10 dev environment. This does not currently surface in CI because every workflow that calls check_package_boundaries.py (the six per-package workflows) pins Python 3.12 only - but it is a real gap for anyone following the documented Python-3.10-compatible development install."
