direct_reference_expected_score,direct_reference_winner_row,implemented_expected_rank,implemented_expected_strength,implemented_winner_row,row_id
1.0,tank=0|target=0|cooldown=0,3,0.0,tank=0|target=none|cooldown=0,tank=0|target=0|cooldown=0
1.0,tank=0|target=0|cooldown=0,4,0.0,tank=0|target=none|cooldown=0,tank=0|target=0|cooldown=1
1.0,tank=0|target=0|cooldown=0,3,0.0,tank=0|target=none|cooldown=0,tank=0|target=1|cooldown=0
1.0,tank=0|target=0|cooldown=0,4,0.0,tank=0|target=none|cooldown=0,tank=0|target=1|cooldown=1
1.0,tank=0|target=0|cooldown=0,5,0.0,tank=0|target=none|cooldown=0,tank=0|target=2|cooldown=0
1.0,tank=0|target=0|cooldown=0,6,0.0,tank=0|target=none|cooldown=0,tank=0|target=2|cooldown=1
1.0,tank=0|target=0|cooldown=0,7,0.0,tank=0|target=none|cooldown=0,tank=0|target=3|cooldown=0
1.0,tank=0|target=0|cooldown=0,8,0.0,tank=0|target=none|cooldown=0,tank=0|target=3|cooldown=1
1.0,tank=0|target=0|cooldown=0,9,0.0,tank=0|target=none|cooldown=0,tank=0|target=4|cooldown=0
1.0,tank=0|target=0|cooldown=0,10,0.0,tank=0|target=none|cooldown=0,tank=0|target=4|cooldown=1
1.0,tank=0|target=0|cooldown=0,11,0.0,tank=0|target=none|cooldown=0,tank=0|target=5|cooldown=0
1.0,tank=0|target=0|cooldown=0,12,0.0,tank=0|target=none|cooldown=0,tank=0|target=5|cooldown=1
1.0,tank=0|target=0|cooldown=0,5,0.0,tank=0|target=none|cooldown=0,tank=0|target=6|cooldown=0
1.0,tank=0|target=0|cooldown=0,6,0.0,tank=0|target=none|cooldown=0,tank=0|target=6|cooldown=1
1.0,tank=0|target=0|cooldown=0,1,0.0,tank=0|target=none|cooldown=0,tank=0|target=none|cooldown=0
1.0,tank=0|target=0|cooldown=0,2,0.0,tank=0|target=none|cooldown=0,tank=0|target=none|cooldown=1
1.0,tank=0|target=0|cooldown=0,3,0.0,tank=1|target=none|cooldown=0,tank=1|target=0|cooldown=0
1.0,tank=0|target=0|cooldown=0,4,0.0,tank=1|target=none|cooldown=0,tank=1|target=0|cooldown=1
1.0,tank=0|target=0|cooldown=0,3,0.0,tank=1|target=none|cooldown=0,tank=1|target=1|cooldown=0
1.0,tank=0|target=0|cooldown=0,4,0.0,tank=1|target=none|cooldown=0,tank=1|target=1|cooldown=1
1.0,tank=0|target=0|cooldown=0,5,0.0,tank=1|target=none|cooldown=0,tank=1|target=2|cooldown=0
1.0,tank=0|target=0|cooldown=0,6,0.0,tank=1|target=none|cooldown=0,tank=1|target=2|cooldown=1
1.0,tank=0|target=0|cooldown=0,7,0.0,tank=1|target=none|cooldown=0,tank=1|target=3|cooldown=0
1.0,tank=0|target=0|cooldown=0,8,0.0,tank=1|target=none|cooldown=0,tank=1|target=3|cooldown=1
