workflow,job,os,command,works_in_current_repo,assumes_deleted_root_distribution,windows_or_linux_only_path,trigger_paths_cover_affecting_files,notes
python.yml,quality,ubuntu-latest,"python -m pip install -q .[dev]",NO - fails immediately,YES,no,NO,"Root pyproject.toml has no [project]/[build-system] table; setuptools flat-layout auto-discovery finds site/packages/research/zeromodel/integration_tests as top-level and aborts. Verified by reproducing the exact pip error. Step is not wrapped in continue-on-error, so the job hard-fails before check_quality.py ever runs."
python.yml,quality,ubuntu-latest,"python scripts/check_quality.py > build/ci/quality.log 2>&1",UNREACHABLE,YES,no,NO,"Never executes because the prior install step fails first."
python.yml,package-tests,ubuntu-latest (matrix 3.10/3.11/3.12),"python -m pip install -q -e .[dev]",NO - fails immediately,YES,no,NO,"Same root-is-non-buildable failure as the quality job; fails on all three Python versions."
python.yml,package-tests,ubuntu-latest,"python scripts/run_fast_tests.py > build/ci/fast-suite.log 2>&1",UNREACHABLE,YES,no,NO,"Never executes; install step fails first."
python.yml,lua-edge,ubuntu-latest,"python -m pip install -q -e .[dev]",NO - fails immediately,YES,no,NO,"Same root install failure."
python.yml,lua-edge,ubuntu-latest,"python -m pytest -q tests/test_lua_policy.py",UNREACHABLE / FILE MISSING,YES,no,NO,"tests/test_lua_policy.py does not exist anywhere in the repo (verified with find); job would fail a second, independent way even if install were fixed."
python.yml,lua-edge,ubuntu-latest,"python examples/lua_edge_policy.py --output build/lua/arcade_policy.lua",UNREACHABLE,n/a,no,NO,"Never reached; examples/lua_edge_policy.py and examples/lua/run_arcade_policy.lua do exist, so this step would work once install/prior step are fixed."
python.yml,package-build,ubuntu-latest,"python -m pip install -q -e .[release]",NO - fails immediately,YES,no,NO,"Root has no [project] table / release extra."
python.yml,package-build,ubuntu-latest,"python -m build",UNREACHABLE / would also fail standalone,YES,no,NO,"Root is intentionally non-buildable (no [project] table); `python -m build` on the repo root fails independently of the extras issue."
python.yml,package-build,ubuntu-latest,"python -m twine check dist/*",UNREACHABLE,YES,no,NO,n/a
package-integration.yml,package-integration,ubuntu-latest (matrix 3.10/3.11/3.12),"python -m pip install build twine pytest ruff mypy",YES,NO,no,PARTIAL,"Does not install the six workspace packages editable; relies entirely on root pyproject.toml's [tool.pytest.ini_options] pythonpath entries to make packages/*/src importable during pytest collection. Works for plain imports but not for anything that checks installed dist-info/pip metadata."
package-integration.yml,package-integration,ubuntu-latest,"python scripts/run_fast_tests.py",YES (packages/*/tests not included - see fast-suite finding),NO,no,PARTIAL,"testpaths=[tests, integration_tests] only; the six package-local suites (144 tests) are never collected by this command. Trigger paths omit tests/** and integration_tests root pyproject changes."
