feature,performed_by_script,evidence,verdict
version synchronization,yes,"validate_versions() reads each packages/<name>/pyproject.toml via tomllib and compares project.name/version/dependencies against the hardcoded PACKAGES manifest in the script (lines 25-123, checked in validate_versions() lines 104-122).",present
six-package build,yes,"build_packages() (lines 131-135) loops over all six PACKAGES entries and runs `python -m build <path>` for each.",present
twine checks,yes,"build_packages() runs `python -m twine check` on each package's dist/* immediately after building it.",present
wheel inspection,yes,"validate_wheels() (lines 169-189) opens each wheel with zipfile, checks version, forbidden member prefixes/files, and cross-wheel member overlap.",present
sdist inspection,yes,"validate_sdists() (lines 192-207) opens each sdist with tarfile and rejects members under /research/, /examples/, or *.sqlite(3).",present
wheel overlap,yes,"validate_wheels()'s `owners` dict (lines 170,184-188) raises SystemExit if the same wheel member path appears in two different wheels.",present
clean installation,yes,"install_and_probe() (lines 210-250) creates a fresh venv and installs all six built wheels together, then runs `pip check`.",present
pip check,yes,"install_and_probe() runs `python -m pip check` in the fresh venv (line 217).",present
namespace composition,partial,"install_and_probe()'s probe script imports zeromodel.core/analysis/observation/vision/video/persistence.sqlalchemy together in one process and asserts each import resolves under the venv's site-packages (not the checkout) - this exercises namespace-package composition implicitly but there is no dedicated assertion about PEP420 namespace mechanics beyond 'all six import together from site-packages'.",partial
root API rejection,yes,"install_and_probe()'s probe script explicitly asserts `from zeromodel import ScoreTable` raises ImportError (root_import must be 'blocked'), and the outer function re-raises SystemExit if it is not blocked (lines 229-237, 246-250).",present
package-local tests,no,"No call to pytest against packages/<name>/tests anywhere in this file. The six package-local suites (144 tests) are validated only by the separate per-package GitHub workflows (core-package.yml etc.), never by this script.",MISSING
integration tests,no,"No invocation of integration_tests/ or `-m integration` anywhere in this file.",MISSING
fast suite,no,"scripts/run_fast_tests.py is never invoked from within this script; it is only called as a separate CI step in package-integration.yml, not composed here.",MISSING
quality,no,"No ruff/mypy/check_quality.py invocation anywhere in this file; quality is only a separate CI step in package-integration.yml.",MISSING
mypy,no,"Not invoked anywhere in this file.",MISSING
package boundaries,no,"scripts/check_package_boundaries.py is never called from within this script.",MISSING
installation matrix,partial,"Only ONE installation scenario is exercised: all six wheels installed together into a single fresh venv. There is no matrix of per-package-alone installs, no test of installing a subset (e.g. vision without observation pre-installed to confirm pip dependency resolution pulls it in), and no test of installing in different orders.",partial/weak
sdist installation,no,"validate_sdists() only inspects sdist tar contents statically (forbidden member check); it never `pip install`s a built sdist to prove it actually builds and installs. Only the wheels are installed and probed in install_and_probe().",MISSING
uninstall safety,no,"No pip uninstall step anywhere in the script.",MISSING
README examples,no,"No execution of any README.md code example anywhere in the script.",MISSING
research imports,no,"No test that research/** does or does not import correctly, or that research imports are appropriately isolated from the shipped packages.",MISSING
identity regression,no,"No comparison against any golden identity/hash/artifact-id value anywhere in the script; write_manifest() records a fresh sha256 per build but never compares it to a prior golden value.",MISSING
artifact manifest,yes,"write_manifest() (lines 253-308) writes docs/architecture/package-release-artifacts-1.0.13.json with per-artifact sha256, size, top-level paths, direct dependencies, and python requirement for every wheel and sdist.",present
actual public API manifest,NO - present but fabricated,"write_public_exports() (lines 311-337) writes docs/architecture/package-public-api-1.0.13.csv, but it does NOT introspect each package's real __all__. It emits exactly one row per package with the literal string \"__all__\" hardcoded into the exported_symbol column (line 320) - it is a placeholder, not a real per-symbol manifest. Verified by reading the function body: there is no import, inspect, or AST step anywhere that reads an actual __all__ list.",present-but-not-a-real-manifest (BLOCKER, see identity/public-API deliverables)
cross-platform execution,NO - crashes on Linux,"install_and_probe() (line 214) hardcodes `python = venv / 'Scripts' / 'python.exe'` with no sys.platform/os.name branching anywhere in the file. A POSIX venv has bin/python, not Scripts/python.exe. This script is invoked by package-integration.yml on runs-on: ubuntu-latest across a 3.10/3.11/3.12 matrix, so this step will raise FileNotFoundError (or the OS equivalent) on every single invocation of that workflow on every Python version. This is the single highest-severity, most concrete failure found in this audit.",BLOCKER - fails unconditionally on Linux CI
